causa
ABALROAMENTO
ACESSO DE TERCEIROS
ACIDENTE
ACIONAMENTO IMPROCEDENTE VIVO
ALÍVIO FÍSICO
ÁREA DE RISCO
ATAQUE CIBERNETICO
ATAQUE DE ANIMAIS
AUSENCIA DE CONFIGURACAO
CABO BAIXO
CAIXA NÃO LOCALIZADA
CAIXA SEM CONECTIVIDADE
CARGA ALTA
CASA FECHADA / SEM ACESSO
CAUSA NÃO LISTADA
CBLI DANIFICADO
CDOE/CAIXA DE TRANSIÇÃO FORA DO PADRÃO
CEO DANIFICADA
CEO/CTO PENDURADA
CLIMATIZAÇÃO
CONCESSIONÁRIA ELÉTRICA
CONECTIVIDADE
CONECTOR CTO
CONECTOR DROP REDE
CORDÃO DANIFICADO
CORDÃO ÓPTICO ATENUADO
CORDÃO ÓPTICO DEFEITUOSO
CORDOALHA ROMPIDA
CS DANIFICADA
CTO ATENUADA
CTO DANIFICADA
CUNHA QUEBRADA
DEFEITO SPLITTER
DESCARGA ELÉTRICA
DIVERGÊNCIA DE CADASTRO
DUPLICIDADE DE ONT NA GERÊNCIA
ENDEREÇO NÃO COBERTO
ERRO CONSTRUÇÃO
ESCAVAÇÃO DE TERCEIROS
ESPINAÇÃO ROMPIDA
FALHA CONFIGURAÇÃO
FALHA DE GERÊNCIA DO ELEMENTO DE REDE (OLT, AGG E BNG)
FALHA ENERGIA
FALHA HARDWARE
FALHA OPERACIONAL
FALHA OPERADORA
FALHA TENANT
FIBRA QUEBRADA
FURTO
FUSÃO ATENUADA
IMPROCEDENTE
INCÊNDIO
INFORMAÇÃO INSUFICIENTE
INTEMPÉRIE
INTERNALIZAÇÃO B2B AVANÇADO
IP EXPOSTO
LIMPEZA DE DROP
LINHA DE PIPA
LINK DOWN
MANOBRA DE CTO
MANOBRA DE PORTA
NECESSÁRIA AÇÃO TENANT
NORMALIZADO PELA CONCESSIONÁRIA
NORMALIZADO SEM INTERVENÇÃO
NORMALIZADO SEM INTERVENÇÃO/AÇÃO TENANT
OBRA TERCEIROS
OPERAÇÃO TERCEIROS
OUTROS
PASSANTE DANIFICADO
PIG TAIL DANIFICADO
PODA ÁRVORE
PORTA COM DEFEITO
QUEDA ÁRVORE
REFEITO O DROP
REUTILIZADO O DROP
ROMPIMENTO DE CABO
SEM FALHA REDE FIBRASIL
SFP COM DEFEITO
SPLITER INVERTIDO
TRABALHOS PROGRAMADOS
TROCA DE POSTE
TTK DUPLICADO
VANDALISMO
